language,cast_0,director,genre_0,company_0,country,cast_num,crew_num,popularity,KNeigh,NBGaus,NBGaus_pf,MLP,EnsmblHD,EnsmblSF,EnsmblSW
0,109,145,0,13,6,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,225,688,8,9,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,589,1426,8,273,0,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
4,237,762,0,18,12,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,115,114,10,15,12,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1942,487,12,351,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,633,780,0,343,6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,613,258,16,250,28,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,98,583,0,63,7,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,717,617,5,18,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,296,1616,8,295,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,692,664,15,2,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,327,418,8,5,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,305,1386,5,188,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1733,2004,8,622,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,111,15,1,11,4,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,155,47,5,15,9,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1773,2038,15,75,0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,122,92,4,2,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1994,2249,8,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,102,949,13,273,12,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1122,1222,1,194,34,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1280,1617,5,193,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1054,764,5,158,11,1,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,129,147,13,19,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2068,2126,5,193,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,188,213,3,2,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,118,626,1,18,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,1711,1087,15,383,6,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,229,220,3,99,10,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,387,2339,16,1310,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,459,915,8,2,6,0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,1825,2090,15,1026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,345,1585,5,806,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,517,2012,5,443,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,939,1134,8,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,116,285,8,264,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1944,2198,5,1221,46,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1984,2240,13,1251,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,23,8,19,10,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,585,728,0,126,7,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,299,695,8,78,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,29,344,8,24,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,63,332,8,63,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,101,206,4,18,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,92,91,0,18,5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1690,1956,5,1051,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,684,804,8,368,9,1,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,38,563,5,282,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1887,2145,5,193,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,308,782,2,344,0,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,18,1002,15,535,44,0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0,295,174,13,71,12,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,244,509,8,208,0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,115,388,5,63,0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,137,790,8,348,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,18,436,5,47,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,482,594,1,248,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1060,623,4,615,0,1,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1106,205,13,46,0,0,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,1589,326,8,55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,116,1602,8,95,0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,190,67,13,192,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,666,819,3,13,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,866,1029,15,52,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2033,2286,8,1279,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1470,991,8,88,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1238,1087,5,55,7,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,392,1042,5,490,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,425,540,5,46,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,143,767,8,331,0,0,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,674,831,0,361,0,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,1423,465,0,15,0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6,1894,2152,16,1190,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,235,260,7,1,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,140,793,0,40,6,0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,188,202,8,2,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,215,112,5,416,0,2,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1361,1626,16,827,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,890,758,5,501,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,265,1113,8,583,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,439,162,8,341,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,213,36,1,15,7,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,88,165,6,63,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,745,1402,5,698,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,435,549,0,13,0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,29,80,8,18,0,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,286,325,5,19,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,880,36,2,491,12,1,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0,188,123,0,2,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2009,2263,5,193,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,31,289,2,135,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,609,51,13,2,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,270,126,6,46,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1623,1874,1,994,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,387,695,17,63,0,3,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,442,555,2,18,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,217,1600,5,813,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,121,1041,5,188,0,0,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,476,862,5,63,0,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,1606,1859,2,942,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,207,226,0,9,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,119,335,6,2,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2025,1331,5,193,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1414,1647,5,878,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,5,2,2,0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,341,408,0,18,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,379,584,0,242,5,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,366,335,1,182,0,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,163,77,5,12,0,1,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,27,535,0,2,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,262,11,0,313,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,816,655,2,280,8,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,979,612,8,9,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,926,1647,7,851,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,524,1542,8,158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1551,1807,5,950,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1471,1126,8,351,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,277,8,46,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1158,1389,13,13,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,26,92,6,79,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,357,1649,7,845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1276,1522,5,40,1,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1129,1347,8,657,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,553,2055,16,1118,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33,439,5,2,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,356,444,8,1,0,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,207,957,5,425,0,0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,161,170,7,19,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,189,37,5,31,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1996,174,12,1044,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1031,1233,8,53,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,268,787,6,256,11,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,638,126,8,587,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1203,1043,8,1,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1917,2176,8,1201,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,683,659,3,367,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1610,1862,15,9,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,205,438,8,2,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1088,1299,0,52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,555,681,0,78,9,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,636,328,8,151,0,2,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,162,791,1,255,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,98,994,5,2,18,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,125,211,5,15,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,353,548,8,15,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,780,832,0,416,0,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,1273,1440,8,193,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,177,15,2,11,1,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,18,15,1,11,4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1605,1728,17,158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,811,969,8,438,6,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,272,542,8,51,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,794,951,5,364,6,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,214,809,5,112,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1662,418,8,78,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1897,2154,8,193,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,37,272,0,228,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,519,630,5,19,10,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,290,138,8,63,0,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1102,1441,8,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,208,620,5,479,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,121,34,5,49,10,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,191,6,75,5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,997,787,5,256,1,0,2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,955,460,5,273,13,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,558,598,5,42,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,485,602,1,0,36,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,188,202,8,2,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1249,189,8,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1133,1256,15,623,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,817,972,0,303,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,172,80,0,2,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1085,1296,4,632,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,112,727,6,13,0,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,241,37,1,15,0,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,244,1217,6,78,0,1,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,265,17,0,9,0,2,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,361,517,5,46,0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,2022,2274,3,1271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1685,1949,5,1032,13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,639,246,15,13,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,56,280,8,44,0,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1497,1458,5,549,24,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,348,1594,6,45,0,0,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,55,37,0,31,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,159,168,0,67,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,930,1751,16,193,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,301,424,8,130,7,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,116,116,4,4,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2066,2320,5,193,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1554,1811,5,953,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,188,227,8,9,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,829,465,15,454,0,0,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
7,599,747,2,257,26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,65,186,1,13,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1,385,6,46,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,286,325,11,15,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1882,2142,15,517,0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,515,1236,5,593,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33,221,2,15,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,573,701,8,13,0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,724,688,8,273,0,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,1672,1312,8,1040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,512,621,2,126,0,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,392,291,8,1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1472,276,8,9,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1730,2001,5,1083,59,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,126,106,0,41,6,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,115,238,6,9,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,103,329,8,390,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,170,286,8,18,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,452,1443,8,220,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,951,1146,3,543,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1795,1761,5,193,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,34,33,0,9,0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,573,1241,8,597,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,78,968,6,434,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1004,1206,12,581,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,245,204,8,31,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,22,23,7,1,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,207,333,15,126,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1020,1222,5,18,0,1,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,545,2050,5,1113,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,159,309,0,41,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,318,381,0,152,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,701,1444,5,720,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,655,806,9,18,8,1,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,100,278,14,63,7,0,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,498,1043,8,193,0,0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,171,181,3,50,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,26,390,17,229,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,31,84,5,12,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,693,852,1,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,913,915,5,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,565,1271,8,208,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,621,600,15,91,0,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0,765,1188,2,193,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,765,467,15,15,6,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,277,1307,5,68,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,328,934,5,2,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
0,252,203,8,46,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,39,17,4,323,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,299,695,8,417,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,31,37,8,31,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,98,24,0,13,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1491,386,0,193,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1849,2116,6,1166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,361,461,5,2,0,0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1112,503,5,1,0,0,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,301,758,5,337,9,1,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0,224,832,0,424,10,0,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,9,489,13,112,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,568,986,0,110,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,154,161,6,2,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,53,282,1,18,0,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,155,162,8,9,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,522,792,8,193,0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,1486,444,0,443,0,1,3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0,166,1062,5,31,0,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,672,879,12,189,14,0,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,392,291,8,1,0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
