id,title,original_language,overview,popularity,release_date,runtime,vote_average,vote_count,cast_num,cast_0_id,cast_0_name,cast_0_gender,cast_1_id,cast_1_name,cast_1_gender,cast_2_id,cast_2_name,cast_2_gender,cast_gender_na,cast_gender_f,cast_gender_m,crew_num,director_id,director_name,genre_0_id,genre_0_name,genre_1_id,genre_1_name,genre_2_id,genre_2_name,keyword_0_id,keyword_0_name,keyword_1_id,keyword_1_name,keyword_2_id,keyword_2_name,keyword_3_id,keyword_3_name,keyword_4_id,keyword_4_name,production_companies_num,production_company_0_id,production_company_0_name,production_company_1_id,production_company_1_name,production_countries_num,production_country_code,production_country_name,spoken_languages_num,spoken_language_code,spoken_language_name
1452,Superman Returns,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,2006-06-28,154.0,5.4,1400,18,17271,Brandon Routh,2,1979,Kevin Spacey,2,7517,Kate Bosworth,1,3,5,10,24,9032,Bryan Singer,12,Adventure,14,Fantasy,28,Action,83,saving the world,849,dc comics,8872,invulnerability,9663,sequel,9715,superhero,4,429,DC Comics,923,Legendary Pictures,1,US,United States of America,3,en,English
10764,Quantum of Solace,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.92881100000001,2008-10-30,106.0,6.1,2965,32,8784,Daniel Craig,2,18182,Olga Kurylenko,1,8789,Mathieu Amalric,2,11,7,14,17,12995,Marc Forster,12,Adventure,28,Action,53,Thriller,627,killing,1568,undercover,4289,secret agent,156095,british secret service,,,1,7576,Eon Productions,,,2,GB,United Kingdom,5,en,English
58,Pirates of the Caribbean: Dead Man's Chest,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.84737900000005,2006-06-20,151.0,7.0,5246,33,85,Johnny Depp,2,114,Orlando Bloom,2,116,Keira Knightley,1,4,4,25,23,1704,Gore Verbinski,12,Adventure,14,Fantasy,28,Action,616,witch,663,fortune teller,910,bondage,911,exotic island,1299,monster,3,2,Walt Disney Pictures,130,Jerry Bruckheimer Films,4,JM,Jamaica,4,en,English
57201,The Lone Ranger,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,2013-07-03,149.0,5.9,2311,60,85,Johnny Depp,2,53807,Armie Hammer,2,886,William Fichtner,2,21,6,33,35,1704,Gore Verbinski,28,Action,12,Adventure,37,Western,1556,texas,2673,horse,5385,survivor,5901,texas ranger,9104,partner,6,2,Walt Disney Pictures,130,Jerry Bruckheimer Films,1,US,United States of America,1,en,English
49521,Man of Steel,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,2013-06-12,143.0,6.5,6359,33,73968,Henry Cavill,2,9273,Amy Adams,1,335,Michael Shannon,2,5,8,20,48,15217,Zack Snyder,28,Action,12,Adventure,14,Fantasy,83,saving the world,849,dc comics,9715,superhero,9717,based on comic book,10761,superhuman,5,923,Legendary Pictures,6194,Warner Bros.,2,GB,United Kingdom,1,en,English
2454,The Chronicles of Narnia: Prince Caspian,en,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,2008-05-15,150.0,6.3,1630,21,25130,Ben Barnes,2,5528,William Moseley,2,5529,Anna Popplewell,1,0,5,16,83,5524,Andrew Adamson,12,Adventure,10751,Family,14,Fantasy,818,based on novel,855,fictional place,1155,brother sister relationship,2043,lion,3714,human being,7,5888,Walt Disney,10221,Walden Media,4,CZ,Czech Republic,1,en,English
24428,The Avengers,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,143.0,7.4,11776,115,3223,Robert Downey Jr.,2,16828,Chris Evans,2,103,Mark Ruffalo,2,18,28,69,147,12891,Joss Whedon,878,Science Fiction,28,Action,12,Adventure,242,new york,5539,shield,8828,marvel comic,9715,superhero,9717,based on comic book,2,4,Paramount Pictures,420,Marvel Studios,1,US,United States of America,1,en,English
1865,Pirates of the Caribbean: On Stranger Tides,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,2011-05-14,136.0,6.4,4948,35,85,Johnny Depp,2,955,Penélope Cruz,1,6972,Ian McShane,2,7,3,25,39,17633,Rob Marshall,12,Adventure,28,Action,14,Fantasy,658,sea,1316,captain,1860,mutiny,1938,sword,2569,prime minister,3,2,Walt Disney Pictures,130,Jerry Bruckheimer Films,1,US,United States of America,2,en,English
41154,Men in Black 3,en,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,2012-05-23,106.0,6.2,4160,18,2888,Will Smith,2,2176,Tommy Lee Jones,2,16851,Josh Brolin,2,2,4,12,21,5174,Barry Sonnenfeld,28,Action,35,Comedy,878,Science Fiction,4379,time travel,5455,time machine,9951,alien,174915,fictional government agency,185668,seeing the future,5,56,Amblin Entertainment,5627,Media Magik Entertainment,1,US,United States of America,1,en,English
122917,The Hobbit: The Battle of the Five Armies,en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.96574299999999,2014-12-10,144.0,7.1,4760,42,7060,Martin Freeman,2,1327,Ian McKellen,2,30315,Richard Armitage,2,10,5,27,127,108,Peter Jackson,28,Action,12,Adventure,14,Fantasy,417,corruption,603,elves,604,dwarves,606,orcs,609,middle-earth (tolkien),5,11,WingNut Films,12,New Line Cinema,2,NZ,New Zealand,1,en,English
1930,The Amazing Spider-Man,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,2012-06-27,136.0,6.5,6586,57,37625,Andrew Garfield,2,54693,Emma Stone,1,7026,Rhys Ifans,2,7,18,32,106,87742,Marc Webb,28,Action,12,Adventure,14,Fantasy,1872,loss of father,7002,vigilante,8803,serum,8828,marvel comic,156855,scientific experiment,3,5,Columbia Pictures,326,Laura Ziskin Productions,1,US,United States of America,1,en,English
20662,Robin Hood,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,2010-05-12,140.0,6.2,1398,34,934,Russell Crowe,2,112,Cate Blanchett,1,2201,Max von Sydow,2,7,5,22,18,578,Ridley Scott,28,Action,12,Adventure,,,4147,robin hood,4393,archer,10466,knight,11525,sherwood forest,18101,bow and arrow,4,23,Imagine Entertainment,33,Universal Pictures,2,GB,United Kingdom,2,en,English
57158,The Hobbit: The Desolation of Smaug,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,2013-12-11,161.0,7.6,4524,32,7060,Martin Freeman,2,1327,Ian McKellen,2,30315,Richard Armitage,2,6,4,22,108,108,Peter Jackson,12,Adventure,14,Fantasy,,,603,elves,604,dwarves,606,orcs,611,hobbit,12554,dragon,4,11,WingNut Films,12,New Line Cinema,2,NZ,New Zealand,1,en,English
2268,The Golden Compass,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,2007-12-04,113.0,5.8,1303,29,45589,Dakota Blue Richards,1,2227,Nicole Kidman,1,8784,Daniel Craig,2,7,8,14,32,3288,Chris Weitz,12,Adventure,14,Fantasy,,,392,england,1461,compass,1706,experiment,2596,lordship,6464,uncle,4,12,New Line Cinema,289,Ingenious Film Partners,2,GB,United Kingdom,4,is,Íslenska
254,King Kong,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.226009999999995,2005-12-14,187.0,6.6,2337,33,3489,Naomi Watts,1,70851,Jack Black,2,3490,Adrien Brody,2,12,1,20,38,108,Peter Jackson,12,Adventure,18,Drama,28,Action,774,film business,776,screenplay,837,show business,886,film making,887,film producer,4,11,WingNut Films,33,Universal Pictures,3,NZ,New Zealand,1,en,English
597,Titanic,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,1997-11-18,194.0,7.5,7562,136,204,Kate Winslet,1,6193,Leonardo DiCaprio,2,3713,Frances Fisher,1,64,30,42,65,2710,James Cameron,18,Drama,10749,Romance,53,Thriller,2580,shipwreck,2984,iceberg,3799,ship,4210,panic,4388,titanic,3,4,Paramount Pictures,306,Twentieth Century Fox Film Corporation,1,US,United States of America,6,en,English
271110,Captain America: Civil War,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.37239499999998,2016-04-27,147.0,7.1,7241,100,16828,Chris Evans,2,3223,Robert Downey Jr.,2,1245,Scarlett Johansson,1,64,9,27,119,19271,Anthony Russo,12,Adventure,28,Action,878,Science Fiction,393,civil war,6091,war,8828,marvel comic,9663,sequel,9715,superhero,5,264,Studio Babelsberg,420,Marvel Studios,1,US,United States of America,4,ro,Română
44833,Battleship,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,2012-04-11,131.0,5.5,2114,46,60900,Taylor Kitsch,2,28846,Alexander Skarsgård,2,131519,Rihanna,1,14,5,27,122,36602,Peter Berg,53,Thriller,28,Action,12,Adventure,1721,fight,4410,u.s. navy,11265,mind reading,12354,hong kong,13042,soccer,4,33,Universal Pictures,2598,Hasbro,1,US,United States of America,2,en,English
135397,Jurassic World,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,2015-06-09,124.0,6.5,8662,28,73457,Chris Pratt,2,18997,Bryce Dallas Howard,1,76793,Irrfan Khan,2,4,8,16,435,930707,Colin Trevorrow,28,Action,12,Adventure,878,Science Fiction,1299,monster,1718,dna,1720,tyrannosaurus rex,1766,velociraptor,2041,island,5,13,Universal Studios,56,Amblin Entertainment,1,US,United States of America,1,en,English
37724,Skyfall,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,2012-10-25,143.0,6.9,7604,24,8784,Daniel Craig,2,5309,Judi Dench,1,3810,Javier Bardem,2,10,6,8,30,39,Sam Mendes,28,Action,12,Adventure,53,Thriller,470,spy,4289,secret agent,9740,sociopath,15127,killer,15478,art gallery,1,5,Columbia Pictures,,,2,GB,United Kingdom,1,en,English
558,Spider-Man 2,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,2004-06-25,127.0,6.7,4321,76,2219,Tobey Maguire,2,205,Kirsten Dunst,1,17051,James Franco,2,27,16,33,128,7623,Sam Raimi,28,Action,12,Adventure,14,Fantasy,851,dual identity,2038,love of one's life,5983,pizza boy,8828,marvel comic,9663,sequel,3,5,Columbia Pictures,326,Laura Ziskin Productions,1,US,United States of America,3,en,English
68721,Iron Man 3,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,2013-04-18,130.0,6.8,8806,107,3223,Robert Downey Jr.,2,12052,Gwyneth Paltrow,1,1896,Don Cheadle,2,53,12,42,29,1108,Shane Black,28,Action,12,Adventure,878,Science Fiction,949,terrorist,5597,war on terror,6335,tennessee,8613,malibu,8828,marvel comic,1,420,Marvel Studios,,,2,CN,China,1,en,English
12155,Alice in Wonderland,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,2010-03-03,108.0,6.4,4645,35,76070,Mia Wasikowska,1,85,Johnny Depp,2,1813,Anne Hathaway,1,2,16,17,24,510,Tim Burton,10751,Family,14,Fantasy,12,Adventure,818,based on novel,855,fictional place,2011,queen,2486,fantasy,12552,alice in wonderland,5,2,Walt Disney Pictures,598,Team Todd,1,US,United States of America,1,en,English
36668,X-Men: The Last Stand,en,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,2006-05-24,104.0,6.3,3525,32,6968,Hugh Jackman,2,4587,Halle Berry,1,1327,Ian McKellen,2,3,10,19,39,11091,Brett Ratner,12,Adventure,28,Action,878,Science Fiction,1852,mutant,8828,marvel comic,9717,based on comic book,10761,superhuman,161271,beast,11,289,Ingenious Film Partners,306,Twentieth Century Fox Film Corporation,3,CA,Canada,1,en,English
62211,Monsters University,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,2013-06-20,104.0,7.0,3528,24,7904,Billy Crystal,2,1230,John Goodman,2,884,Steve Buscemi,2,2,6,16,13,225976,Dan Scanlon,16,Animation,10751,Family,,,1299,monster,5984,dormitory,6186,games,10336,animation,12392,best friend,2,2,Walt Disney Pictures,3,Pixar Animation Studios,1,US,United States of America,1,en,English
8373,Transformers: Revenge of the Fallen,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,2009-06-19,150.0,6.0,3138,37,10959,Shia LaBeouf,2,19537,Megan Fox,1,19536,Josh Duhamel,2,6,6,25,55,865,Michael Bay,878,Science Fiction,28,Action,12,Adventure,1160,egypt,1670,sun,4630,chaos,8264,symbol,9854,artifact,7,4,Paramount Pictures,27,DreamWorks SKG,1,US,United States of America,2,en,English
91314,Transformers: Age of Extinction,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,2014-06-25,165.0,5.8,3095,41,13240,Mark Wahlberg,2,2283,Stanley Tucci,2,7090,Kelsey Grammer,2,9,6,26,86,865,Michael Bay,878,Science Fiction,28,Action,12,Adventure,9663,sequel,9951,alien,10607,transformers,10891,giant robot,14544,robot,8,4,Paramount Pictures,56,Amblin Entertainment,1,US,United States of America,1,en,English
68728,Oz: The Great and Powerful,en,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,2013-03-07,130.0,5.7,3530,159,17051,James Franco,2,18973,Mila Kunis,1,3293,Rachel Weisz,1,111,33,15,31,7623,Sam Raimi,14,Fantasy,12,Adventure,10751,Family,291,circus,616,witch,2343,magic,3929,hope,4662,illusion,2,2,Walt Disney Pictures,16314,Roth Films,1,US,United States of America,1,en,English
102382,The Amazing Spider-Man 2,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,2014-04-16,142.0,6.5,4179,65,37625,Andrew Garfield,2,54693,Emma Stone,1,134,Jamie Foxx,2,2,11,52,102,87742,Marc Webb,28,Action,12,Adventure,14,Fantasy,1523,obsession,8828,marvel comic,9663,sequel,9717,based on comic book,13040,electrocution,4,5,Columbia Pictures,19551,Marvel Enterprises,1,US,United States of America,1,en,English
20526,TRON: Legacy,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,2010-12-10,125.0,6.3,2841,23,9828,Garrett Hedlund,2,1229,Jeff Bridges,2,59315,Olivia Wilde,1,3,6,14,27,86270,Joseph Kosinski,12,Adventure,28,Action,878,Science Fiction,310,artificial intelligence,1308,secret identity,4286,computer program,4565,dystopia,6104,computer,6,2,Walt Disney Pictures,7161,LivePlanet,1,US,United States of America,1,en,English
49013,Cars 2,en,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,2011-06-11,106.0,5.8,2033,47,887,Owen Wilson,2,15897,Larry the Cable Guy,2,3895,Michael Caine,2,15,6,26,40,7879,John Lasseter,16,Animation,10751,Family,12,Adventure,830,car race,9663,sequel,10267,comedy,11500,anthropomorphism,12392,best friend,2,2,Walt Disney Pictures,3,Pixar Animation Studios,1,US,United States of America,4,en,English
44912,Green Lantern,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,2011-06-16,114.0,5.1,2487,23,10859,Ryan Reynolds,2,59175,Blake Lively,1,133,Peter Sarsgaard,2,3,6,14,47,10702,Martin Campbell,12,Adventure,28,Action,53,Thriller,849,dc comics,4375,transformation,9715,superhero,9951,alien,15250,alien infection,3,2609,De Line Pictures,6194,Warner Bros.,1,US,United States of America,1,en,English
